1.58432E+12,Europe/London,16. 03. 2020 0:47,16. 03. 2020 8:28,28. 03. 2020 1:28,7.68,3.75,  #geo1,10007,-1,-1,7,0.40860215,-15
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58423E+12,Europe/London,14. 03. 2020 22:37,15. 03. 2020 5:37,15. 03. 2020 5:37,7,0, #cloud #sport_2x,10007,-1,-1,5,0.5853018,-20
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58417E+12,Europe/London,14. 03. 2020 5:56,14. 03. 2020 12:14,14. 03. 2020 13:00,6.29,0,  #sport_3x #home,10007,-1,-1,6,0.43421054,-34
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58407E+12,Europe/London,13. 03. 2020 2:08,13. 03. 2020 9:04,13. 03. 2020 9:00,6.95,0, #watch    #home,10007,-1,-1,6,0.26190478,-114
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58397E+12,Europe/London,12. 03. 2020 0:52,12. 03. 2020 8:43,12. 03. 2020 9:00,7.84,0, #watch      #home,10007,-1,-1,13,0.52106583,-90
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58389E+12,Europe/London,11. 03. 2020 1:48,11. 03. 2020 8:50,11. 03. 2020 9:00,7.04,3.75, #watch   #sport   #home,10007,-1,-1,7,0.27058825,-96
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58386E+12,Europe/London,10. 03. 2020 15:56,10. 03. 2020 16:42,10. 03. 2020 16:31,0.77,0,Nap length 0:35 #watch  #home,10007,-1,-1,2,0.8697717,-11
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5838E+12,Europe/London,09. 03. 2020 23:19,10. 03. 2020 6:50,10. 03. 2020 7:00,7.53,0, #watch #fullmoon      #home,10007,-1,-1,10,0.43956044,-148
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58372E+12,Europe/London,09. 03. 2020 1:17,09. 03. 2020 8:52,09. 03. 2020 9:00,7.58,0, #watch      #home,10007,-1,-1,12,0.41758242,-60
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58363E+12,Europe/London,08. 03. 2020 1:54,08. 03. 2020 8:28,08. 03. 2020 9:00,6.57,0, #watch  #sport_6x   #home,10007,-1,-1,9,0.4556962,-150
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58355E+12,Europe/London,07. 03. 2020 1:45,07. 03. 2020 8:58,07. 03. 2020 9:00,7.21,0, #watch,10007,-1,-1,12,0.40229884,-100
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
